"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","id_occurrence_no"
NA,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Kentucky","KY",2021,"","Comprehensive MCO","Kentucky Managed Care (Comprehensive MCO)","Humana","Statewide",159907,8004,167911,"Humana","Humana","Humana",1,"181858","182351",1,0,"Humana","Humana",1
"Kentucky","KY",2021,"","Non-Emergency Medical Transportation","Kentucky Non-Emergency Medical Transportation (Non-Emergency Medical Transportation)","NEMT Human Services Transportation Delivery","Statewide",0,0,0,"State Non-Emergency Transportation",NA,NA,0,"87307","87547",1,0,"Pennyrile Community Services","State Non-Emergency Transportation",1
"Kentucky","KY",2021,"","Comprehensive MCO","Kentucky Managed Care (Comprehensive MCO)","Anthem BCBS","Statewide",155645,7043,162688,"Anthem","Anthem Blue Cross Blue Shield","Anthem",1,"184225","184666",1,1,"Anthem","Anthem Blue Cross Blue Shield",1
"Kentucky","KY",2021,"","Non-Emergency Medical Transportation","Kentucky Non-Emergency Medical Transportation (Non-Emergency Medical Transportation)","NEMT Human Services Transportation Delivery","Statewide",0,0,0,"State Non-Emergency Transportation",NA,NA,0,"94140","94389",1,0,"Pennyrile Community Services","State Non-Emergency Transportation",1
"Kentucky","KY",2021,"","Non-Emergency Medical Transportation","Kentucky Non-Emergency Medical Transportation (Non-Emergency Medical Transportation)","NEMT Human Services Transportation Delivery","Statewide",0,0,0,"State Non-Emergency Transportation",NA,NA,0,"69014","69152",1,0,"Pennyrile Community Services","State Non-Emergency Transportation",1
"Kentucky","KY",2021,"","Non-Emergency Medical Transportation","Kentucky Non-Emergency Medical Transportation (Non-Emergency Medical Transportation)","NEMT Human Services Transportation Delivery","Statewide",0,0,0,"State Non-Emergency Transportation",NA,NA,0,"128334","128505",1,0,"Pennyrile Community Services","State Non-Emergency Transportation",1
"Kentucky","KY",2021,"","Non-Emergency Medical Transportation","Kentucky Non-Emergency Medical Transportation (Non-Emergency Medical Transportation)","NEMT Human Services Transportation Delivery","Statewide",0,0,0,"State Non-Emergency Transportation",NA,NA,0,"91009","91210",1,0,"Pennyrile Community Services","State Non-Emergency Transportation",1
"Kentucky","KY",2021,"","Comprehensive MCO","Kentucky Managed Care (Comprehensive MCO)","Passport by Molina","Statewide",313362,13471,326833,"Molina","Passport by Molina","Molina",1,"351734","352493",NA,0,"Independence Health Group","Passport by Molina",1
"Kentucky","KY",2021,"","Comprehensive MCO","Kentucky Managed Care (Comprehensive MCO)","United Healhcare","Statewide",35442,1589,37031,"United Healthcare","United Healthcare","UnitedHealth Group",1,"211942","217620",NA,0,"United Healthcare","United Healthcare",1
"Louisiana","LA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","PACE - Baton Rouge","70704, 70710, 70714,70719, 70720,70722, 70729, 70736, 70739, 70748, 70767, 70770, 70775, 70777, 70791, 70801, 70802, 70803, 70804, 70805, 70806, 70807, 70808, 70809, 70810, 70811, 70812, 70813, 70814, 70815, 70816, 70817, 70818, 70819, 70820, 70821, 70822, 70823, 70825, 70826, 70827, 70831, 70833, 70835, 70836, 70837, 70873, 70874, 70879,70883, 70884, 70891, 70892, 70893, 70894, 70895, 70896, 70898",2,181,183,"PACE - Baton Rouge",NA,NA,0,"210","209",1,0,"Franciscan Missionaries of Our Lady Health System","PACE - Baton Rouge",1
"Louisiana","LA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","PACE - Greater New Orleans","70112, 70113, 70114, 70115, 70116, 70117, 70118, 70119, 70122, 70124, 70125, 70126, 70127, 70128, 70129, 70130, 70131, 70032, 70043, 70001, 70002, 70003, 70005, 70006, 70053, 70121",11,136,147,"PACE - Greater New Orleans",NA,NA,0,"201","196",1,0,"Catholic Charities Archdiocese of New Orleans","PACE - Greater New Orleans",1
"Louisiana","LA",2021,"","Comprehensive MCO","Healthy Louisiana (Comprehensive MCO)","Healthy Blue","Statewide",319107,244,319351,"Anthem","Healthy Blue","Anthem",1,"381275","381260",1,0,"Anthem","Healthy Blue",1
"Louisiana","LA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Healthy Louisiana (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Healthy Blue","Statewide",2122,24467,26589,"Anthem",NA,NA,0,"381275","381260",1,0,"Anthem","Healthy Blue",2
"Louisiana","LA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Healthy Louisiana (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Louisiana Healthcare Connections","Statewide",2470,29096,31566,"Centene Corporation",NA,NA,0,"567107","567165",1,0,"Centene","Louisiana Healthcare Connections",1
"Louisiana","LA",2021,"","Comprehensive MCO","Healthy Louisiana (Comprehensive MCO)","Louisiana Healthcare Connections","Statewide",496373,252,496625,"Centene Corporation","Louisiana Healthcare Connections","Centene",1,"567107","567165",1,0,"Centene","Louisiana Healthcare Connections",2
"Louisiana","LA",2021,"","Comprehensive MCO","Healthy Louisiana (Comprehensive MCO)","AmeriHealth Caritas Louisiana","Statewide",203459,123,203582,"AmeriHealth Caritas Health Plan","AmeriHealth Caritas Louisiana","Independence Health Group",1,"246312","246366",1,0,"Independence Health Group","AmeriHealth Caritas Louisiana",1
"Louisiana","LA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Healthy Louisiana (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","AmeriHealth Caritas Louisiana","Statewide",1523,20784,22307,"AmeriHealth Caritas Health Plan",NA,NA,0,"246312","246366",1,0,"Independence Health Group","AmeriHealth Caritas Louisiana",2
"Louisiana","LA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Coordinated System of Care (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Magellan","Statewide",2270,3,2273,"Magellan Health, Inc.",NA,NA,0,"4076","4068",1,0,"Molina","Magellan Health, Inc.",1
"Louisiana","LA",2021,"","Dental only (PAHP)","Dental Benefit Management Program (Dental only (PAHP))","MCNA of Louisiana","Statewide",810093,66230,876323,"MCNA",NA,NA,0,"942401","943006",1,0,"United Healthcare","MCNA",1
"Louisiana","LA",2021,"","Comprehensive MCO","Healthy Louisiana (Comprehensive MCO)","UnitedHealthcare Community Plan","Statewide",470011,284,470295,"UnitedHealth Group","UnitedHealthcare Community Plan","UnitedHealth Group",1,"543888","544053",1,0,"United Healthcare","UnitedHealthcare Community Plan",1
"Louisiana","LA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Healthy Louisiana (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","UnitedHealthcare Community Plan","Statewide",2679,30362,33041,"UnitedHealth Group",NA,NA,0,"543888","544053",1,0,"United Healthcare","UnitedHealthcare Community Plan",2
"Louisiana","LA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","Healthy Louisiana (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Aetna Better Health of Louisiana","Statewide",1461,20874,22335,"Aetna",NA,NA,0,"169886","169872",1,0,"CVS Health Corporation","Aetna Better Health of Louisiana",1
"Louisiana","LA",2021,"","Comprehensive MCO","Healthy Louisiana (Comprehensive MCO)","Aetna Better Health of Louisiana","Statewide",126666,143,126809,"Aetna","Aetna Better Health of Louisiana","CVS Health",1,"169886","169872",1,0,"CVS Health Corporation","Aetna Better Health of Louisiana",2
"Louisiana","LA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","PACE (Program of All-inclusive Care for the Elderly (PACE))","PACE - Lafayette","70501, 70503, 70506, 70507, 70508, 70517, 70518, 70520, 70529, 70578, 70583, 70584, 70592",5,86,91,"PACE - Lafayette",NA,NA,0,"122","120",1,0,"Franciscan Alliance","PACE - Lafayette",1
"Louisiana","LA",2021,"","Dental only (PAHP)","Dental Benefit Management Program (Dental only (PAHP))","DentaQuest","Statewide",817667,64898,882565,"SunLife US",NA,NA,0,"969371","968817",0,0,"DentaQuest","SunLife US",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Elder Service Plan of Harbor Health","02108, 02445, 02021,  02026, 02048, 02062,  02067, 02072, 02169,  02184, 02186, 02188,  02301, 02322, 02324,  02333, 02334, 02338,  02339, 02341, 02343,  02351, 02359, 02367,  02368, 02370, 02379,  02382, 02458, 02766,  02767, 02780",23,539,562,"Elder Service Plan",NA,NA,0,"831","831",1,0,"Harbor Health Services","Elder Service Plan",1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Upham's Elder Service Plan","02108, 02445",29,236,265,"Elder Service Plan",NA,NA,0,"292","292",1,0,"Harbor Health Services","Elder Service Plan",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Managed Care Organization (Comprehensive MCO)","BMC HealthNet Plan","Statewide",43532,0,43532,"Boston Medical Center Health Plan Inc.","BMC Healthnet Plan","Boston Medical Center HealthNet Plan",1,"56460","56452",1,0,"BMC Health System, Inc","BMC Healthnet Plan",1
"Massachusetts","MA",2021,"","Comprehensive MCO + MLTSS","Senior Care Options (Comprehensive MCO + MLTSS)","Boston Medical Center Healthnet Plan","Suffolk",252,1686,1938,"Boston Medical Health Plan","BMC Healthnet Plan","Boston Medical Center HealthNet Plan",1,"1990","2005",1,0,"BMC Health System, Inc","BMC Healthnet Plan",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Neighborhood PACE","Middlesex and Suffolk counties",82,689,771,"Neighborhood PACE",NA,NA,0,"625","625",1,0,"Harbor Health Services","Neighborhood PACE",1
"Massachusetts","MA",2021,"","Comprehensive MCO + MLTSS","Senior Care Options (Comprehensive MCO + MLTSS)","United Healthcare","Bristol, Essex, Hampden, Middlesex, Norfolk, Plymouth, Suffolk and Worcester counties",2082,21544,23626,"United Healthcare","United Healthcare","UnitedHealth Group",1,"24894","25146",1,0,"United Healthcare","United Healthcare",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Comprehensive MCO + MLTSS","Senior Care Options (Comprehensive MCO + MLTSS)","Senior Whole Health","Bristol, Essex, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester counties",1229,12270,13499,"Magellan Health","Senior Whole Health","Molina",1,"16919","16958",1,0,"Molina","Senior Whole Health",1
"Massachusetts","MA",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Less than 100",NA,NA,0,"Fallon Health Plan","Fallon Health Plan",1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Fallon Health Summit Eldercare","01001, 01008, 01010,  01011, 01013, 01027,  01028, 01033, 01034,  01036, 01040, 01056,  01057, 01069, 01071,  01073, 01075, 01077,  01081, 01085, 01089,  01095, 01101, 01106,  01521, 01034, 01810,  01821, 01824, 01826,  01827, 01840, 01844,  01850, 01876, 01879,  01886, 01005, 01037,  01068, 01083, 01331,  01331, 01366, 01368,  01420, 01430, 01431,  01432, 01440, 01441,  01450, 01451, 01452,  01453, 01460, 01462,  01463, 01464, 01468,  01469, 01475, 01501,  01503, 01504, 01505,  01506, 01507, 01510,  01515, 01516, 01519,  01520, 01523, 01524,  01527, 01529, 01531,  01532, 01534, 01535,  01540, 01541, 01543,  01545, 01550, 01562,  01564, 01566, 01568,  01569, 01570, 01571,  01581, 01583, 01585,  01590, 01601, 01612,  01719, 01720, 01730,  01740, 01741, 01742,  01747, 01749, 01752,  01756, 01757, 01772,  01151, 01845",29,1146,1175,"Fallon Health Plan",NA,NA,0,"1419","1412",1,0,"Fallon Health Plan","Fallon Health Plan",1
"Massachusetts","MA",2021,"","Comprehensive MCO + MLTSS","Senior Care Options (Comprehensive MCO + MLTSS)","Navicare HMO","Barnstable, Brisol, Essex, Franklin, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester counties",788,8924,9712,"Fallon Health Plan","Navicare HMO","",1,"9787","9835",1,0,"Fallon Health Plan","Navicare HMO",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Health Collaborative of the Berkshires in partnership with Fallon Health","Adams, Pittsfield",19616,0,19616,"Fallon Community Health Plan, Inc.","Fallon Health (Health Collaborative of the Berkshires)","",1,"22711","22726",1,0,"Fallon Health Plan","Fallon Health (Health Collaborative of the Berkshires)",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Reliant Medical Group in partnership with Fallon Health","Gardner-Fitchburg, Framingham, Southbridge, Worcester",40248,0,40248,"Fallon Community Health Plan, Inc.","Fallon Health (Reliant Medical Group)","UnitedHealth Group",1,"45581","45600",1,0,"Fallon Health Plan","Fallon Health (Reliant Medical Group)",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Wellforce in partnership with Fallon Health","Attleboro, Barnstable, Beverly, Boston, Falmouth, Framingham, Haverhill, Lawrence, Lowell, Lynn, Malden, Orleans, Quincy, Revere, Salem, Somerville, Waltham, Wareham, Woburn",60632,0,60632,"Fallon Community Health Plan, Inc.","Fallon Health (Wellforce)","",1,"71656","71705",1,0,"Fallon Health Plan","Fallon Health (Wellforce)",1
"Massachusetts","MA",2021,"","Comprehensive MCO + MLTSS","Senior Care Options (Comprehensive MCO + MLTSS)","Commonwealth Care Alliance","01330, 01337, 01338,  01339, 01340, 01341,  01342, 01344, 01354,  01301, 01302, 01039,  01346, 01347, 01054,  01349, 01350, 01351,  01360, 01367, 01369,  01370, 01072, 01373,  01375, 01376, 01379,  01380, 01093, 02322,  02157, 02457, 02184,  02185, 02146, 02445,  02446, 02147, 02447,  02021, 02467, 02025,  02026, 02027, 02030,  02032, 02035, 02343,  02052, 02053, 02054,  02186, 02187, 02192,  02194, 02492, 02494,  02056, 02171, 02062,  02762, 02169, 02170,  02171, 02269, 02368,  02067, 02070, 02071,  02072, 02081, 02181,  02481, 02482, 02090,  02188, 02189, 02190",771,12849,13620,"Commonwealth Care Alliance","Commonwealth Care Alliance","",1,"14131","14895",1,0,"Commonwealth Care Alliance","Commonwealth Care Alliance",1
"Massachusetts","MA",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"31350","31553",0,0,"Commonwealth Care Alliance","Commonwealth Care Alliance",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Baystate Health Care Alliance in partnership with Health New England (Be Healthy Partnership)","Holyoke, Northampton, Springfield, Westfield",44111,0,44111,"Health New England, Inc.","Health New England (Baystate Health Care Alliance)","",1,"50885","50881",1,0,"Health New England","Health New England (Baystate Health Care Alliance)",1
"Massachusetts","MA",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Less than 100",NA,1,0,"Neighborhood Health Plan","Neighborhood Health Plan",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Merrimack Valley ACO in partnership with AllWays Health Partners (My Care Family)","Haverhill, Lawrence, Lowell",40416,0,40416,"AllWays Health Partners, Inc.","AllWays Health Partners (Merrimack Valley ACO)","",1,"46856","46931",1,0,"AllWays Health Partners","AllWays Health Partners (Merrimack Valley ACO)",1
"Massachusetts","MA",2021,"","Comprehensive MCO + MLTSS","Senior Care Options (Comprehensive MCO + MLTSS)","Tufts Health Plan","Barnstable, Bristol, Essex, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester counties",1591,8359,9950,"Tufts Health Plan","Tufts Health Plan","Point32Health",1,"10094","10101",1,0,"Tufts Health Plan","Tufts Health Plan",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Elder Service Plan of Cambridge Health Alliance","Middlesex and Suffolk counties",41,550,591,"Elder Service Plan",NA,NA,0,"605","605",1,0,"Harbor Health Services","Elder Service Plan",1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Element Care Inc","02176, 02180, 01810,  01821, 01824, 01826,  01827, 01840, 01844,  01850, 01876, 01879,  01886, 01845, 01801,  01803, 01830, 01833,  01834, 01860, 01864,  01867, 01880, 01887,  01890, 01901, 01906,  01907, 01908, 01913,  01915, 01921, 01923,  01929, 01930, 01936,  01938, 01940, 01944,  01945, 01949, 01950,  01951, 01952, 01960,  01966, 01969, 01970,  01983, 01984, 01985",45,931,976,"Element Care Inc",NA,NA,0,"1109","1109",1,0,"Element Care, Inc.","Element Care Inc",1
"Massachusetts","MA",2021,"","Behavioral Health Organization (BHO) only (PIHP and/or PAHP)","MassHealth BH/SUD PIHP (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Massachusetts Behavioral Health Partnership","Statewide",624711,0,624711,"Beacon",NA,NA,0,"736921","736676",1,0,"Beacon","Beacon",1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Serenity Care PACE Program","01002, 01027, 01350,  01001, 01002, 01007,  01008, 01010, 01011,  01012, 01013, 01026,  01027, 01028, 01032,  01033, 01034, 01035,  01036, 01038, 01040,  01050, 01056, 01057,  01060, 01069, 01070,  01071, 01073, 01075,  01077, 01081, 01082,  01085, 01089, 01095,  01096, 01098, 01101,  01106, 01151, 01243,  01521, 01009, 01030,  01039, 01053, 01054,  01059, 01062, 01066,  01072, 01079, 01080,  01084, 01088, 01093,  01097, 01301, 01330,  01337, 01338, 01339,  01340, 01341, 01342,  01344, 01346, 01351,  01354, 01355, 01360,  01364, 01367, 01370,  01375, 01378, 01379",33,463,496,"Serenity Care PACE Program",NA,NA,0,"529","529",1,0,"Serenity Care","Serenity Care PACE Program",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Comprehensive MCO","Managed Care Organization (Comprehensive MCO)","Tufts Health Together","Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Suffolk, and Worcester counties",67296,0,67296,"Tufts Health Public Plans, Inc.","Tufts Health Plan","Point32Health",1,"83884","85091",1,0,"Tufts Health Plan","Tufts Health Plan",1
"Massachusetts","MA",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3683","3700",0,0,"Tufts Health Plan","Tufts Health Plan",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Atrius Health in partnership with Tufts Health Public Plans (THPP)","Attleboro, Beverly, Boston, Brockton, Falmouth, Framingham. Gardner, Fitchburg, Lawrence, Lowell, Lynn, Malden, Plymouth, Quincy, Revere, Salem, Somerville, Waltham, Wareham, Woburn",40028,0,40028,"Tufts Health Public Plans, Inc.","Tufts Health Public Plans (Atrius Health)","Point32Health",1,"47008","47048",1,0,"Tufts Health Plan","Tufts Health Public Plans (Atrius Health)",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Beth Israel Deaconess Care Organization (BIDCO) in partnership with Tufts Health Public Plans (THPP)","Attleboro, Barnstable, Beverly, Boston, Brockton, Falmouth, Framingham, Haverhill, Lowell, Lynn, Malden, Orleans, Plymouth, Quincy, Revere, Salem, Somerville, Waltham,",43142,0,43142,"Tufts Health Public Plans, Inc.","Tufts Health Public Plans (Beth Israel Deaconess Care Organization)","Point32Health",1,"51990","52058",1,0,"Tufts Health Plan","Tufts Health Public Plans (Beth Israel Deaconess Care Organization)",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Cambridge Health Alliance (CHA) in partnership with Tufts Health Public Plans (THPP)","Boston, Lynn, Malden, Revere, Somerville, Waltham, Woburn",34014,0,34014,"Tufts Health Public Plans, Inc.","Tufts Health Public Plans (Cambridge Health Alliance)","Point32Health",1,"40915","41011",1,0,"Tufts Health Plan","Tufts Health Public Plans (Cambridge Health Alliance)",1
"Massachusetts","MA",2021,"","Comprehensive MCO","Accountable Care Partnership Plans (Comprehensive MCO)","Boston Children's Health ACO in partnership with Tufts Health Public Plans (THPP)","Adams, Attleboro, Barnstable, Beverly, Boston, Brockton, Fall River, Falmouth, Framingham, Gardner-Fitchburg, Haverhill, Holyoke, Lawrence, Lowell, Lynn, Malden, New Bedford, Northampton, Orleans, Plymouth, Quincy, Revere, Salem, Somerville, Southbridge, Springfield, Taunton, Waltham, Wareham, Westfield, Woburn, Worcester",121848,0,121848,"Tufts Health Public Plans, Inc.","Tufts Health Public Plans (Boston Children's Health ACO)","Point32Health",1,"141307","141367",1,0,"Tufts Health Plan","Tufts Health Public Plans (Boston Children's Health ACO)",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Massachusetts","MA",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Plan All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life Inc","01008, 01010, 01011,  01013, 01027, 01028,  01033, 01034, 01036,  01040, 01056, 01057,  01069, 01071, 01073,  01075, 01077, 01081,  01085, 01089, 01095,  01101, 01106, 01521,  01151, 01002, 01027,  01350, 01002, 01007,  01012, 01026, 01032,  01035, 01038, 01050,  01060, 01070, 01082,  01096, 01098, 01243,  01034",10,234,244,"Mercy Life Inc",NA,NA,0,"319","319",1,0,"Trinity Health","Mercy Life Inc",1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
